,mean_residual,l2_relative_error,mse,method,ratio,seed,n_iterations,num_domain,num_boundary,num_initial,n_candidate_points,hard_constrained,model_version,influence_sign
7017,0.015673954,0.05399507625964813,0.0011003285701560053,random,0.1,7,50000,2540,80,160,10000,False,train,abs
7018,0.017986137,0.059359311519445686,0.0013298166985325213,random,0.1,7,50000,2540,80,160,10000,False,test,abs
7019,0.015673954,0.05399507625964813,0.0011003285701560053,random,0.1,7,50000,2540,80,160,10000,False,10k,abs
7020,0.007187803299999999,0.03291033590698586,0.00040876970530429496,RAR,0.07,5,50000,2540,80,160,10000,False,train,abs
7021,0.007187803299999999,0.03291033590698586,0.00040876970530429496,RAR,0.07,5,50000,2540,80,160,10000,False,test,abs
7022,0.010725666000000002,0.03944980612215336,0.0005873592575981655,RAR,0.07,5,50000,2540,80,160,10000,False,10k,abs
7023,0.01252385,0.04927023390713986,0.0009161853013506487,IF,0.1,6,50000,2540,80,160,10000,False,train,pos
7024,0.014527048,0.050010591031926135,0.0009439262117181043,IF,0.1,6,50000,2540,80,160,10000,False,test,pos
7025,0.015759828,0.04702543597242725,0.0008346025994091351,IF,0.1,6,50000,2540,80,160,10000,False,10k,pos
7026,0.016750596,0.008075566153875951,2.4612743750431706e-05,RAR,1.0,3,50000,2540,80,160,10000,True,train,abs
7027,0.016750596,0.008075566153875951,2.4612743750431706e-05,RAR,1.0,3,50000,2540,80,160,10000,True,test,abs
7028,0.016750596,0.008075566153875951,2.4612743750431706e-05,RAR,1.0,3,50000,2540,80,160,10000,True,10k,abs
7029,0.015940676,0.02240374389448269,0.0001894328401848194,IF,0.04,9,50000,2540,80,160,10000,True,train,neg
7030,0.015940676,0.02240374389448269,0.0001894328401848194,IF,0.04,9,50000,2540,80,160,10000,True,test,neg
7031,0.015940676,0.02240374389448269,0.0001894328401848194,IF,0.04,9,50000,2540,80,160,10000,True,10k,neg
7032,0.01868102,0.13669979859223433,0.007052609230920438,RAR,0.09,7,50000,2540,80,160,10000,False,train,abs
7033,0.01868102,0.13669979859223433,0.007052609230920438,RAR,0.09,7,50000,2540,80,160,10000,False,test,abs
7034,0.01868102,0.13669979859223433,0.007052609230920438,RAR,0.09,7,50000,2540,80,160,10000,False,10k,abs
7035,0.022015616000000002,0.1189330727528658,0.005338501274618634,random,0.01,9,10000,2540,80,160,10000,False,train,abs
7036,0.022015616000000002,0.1189330727528658,0.005338501274618634,random,0.01,9,10000,2540,80,160,10000,False,test,abs
7037,0.021343438,0.11926971870632935,0.005368765831320546,random,0.01,9,10000,2540,80,160,10000,False,10k,abs
7038,0.017433448,0.04702595882701677,0.000834621158651232,RAR,0.05,5,50000,2540,80,160,10000,True,train,abs
7039,0.017433448,0.04702595882701677,0.000834621158651232,RAR,0.05,5,50000,2540,80,160,10000,True,test,abs
7040,0.017433448,0.04702595882701677,0.000834621158651232,RAR,0.05,5,50000,2540,80,160,10000,True,10k,abs
7041,0.07928535,0.4019979098912245,0.06099042532349722,RAR,0.06,4,50000,2540,80,160,10000,False,train,abs
7042,0.070247605,0.41321943167213737,0.06444296945167012,RAR,0.06,4,50000,2540,80,160,10000,False,test,abs
7043,0.07928535,0.4019979098912245,0.06099042532349722,RAR,0.06,4,50000,2540,80,160,10000,False,10k,abs
7044,0.007068425400000001,0.7654436472517742,0.22112636044544176,RAR,0.3,4,10000,2540,80,160,10000,False,train,abs
7045,0.030084811,0.6979861496513858,0.18386864753748255,RAR,0.3,4,10000,2540,80,160,10000,False,test,abs
7046,0.007068425400000001,0.7654436472517742,0.22112636044544176,RAR,0.3,4,10000,2540,80,160,10000,False,10k,abs
7047,0.032912895,0.020762409288257497,0.00016269326238498502,IF,0.1,6,10000,2540,80,160,10000,True,train,abs
7048,0.033176493,0.02097396350549593,0.00016602561125286008,IF,0.1,6,10000,2540,80,160,10000,True,test,abs
7049,0.032912895,0.020762409288257497,0.00016269326238498502,IF,0.1,6,10000,2540,80,160,10000,True,10k,abs
7050,0.014657965,0.17678300164093386,0.011794922158648387,IF,0.04,5,10000,2540,80,160,10000,False,train,neg
